Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Projected Ret,Yearly Ret,Historical Yearly Ret,Projected Yearly Ret,Asset Value,Historical Asset Value,Projected Asset Value,,Bourse,Bourse Index,Bourse Historical Ret,,Gold,Gold Index,Gold Historical,,Dollar,Dollar Index,Dollar Historical
5-Jun-25,31.81%,53%,45%,29.89%,31.81%,53.17%,5046174092,,53.17%,53.17%,,5046174092,5046174092,,,1.261963749,1.530878471,53%,,474798,1.451736094,45%,,830000,1.298904071,29.89%
6-Jun-25,31.81%,53%,45%,29.11%,31.81%,53.17%,5046174092,,53.17%,53.17%,,5046174092,5046174092,,,1.261963749,1.530878471,53%,,474798,1.451736094,45%,,825000,1.291079357,29.11%
7-Jun-25,33.95%,49%,45%,29.11%,33.95%,56.64%,5127991613,,56.64%,56.64%,,5127991613,5127991613,,,1.20154143,1.489985142,49%,,474798,1.451736094,45%,,825000,1.291079357,29.11%
8-Jun-25,33.84%,49%,46%,28.33%,33.84%,56.06%,5123777357,,56.06%,56.06%,,5123777357,5123777357,,,1.199992139,1.488936595,49%,,476409,1.456661856,46%,,820000,1.283254643,28.33%
9-Jun-25,34.79%,48%,45%,29.10%,34.79%,57.38%,5160321018,,57.38%,57.38%,,5160321018,5160321018,,,1.182949947,1.477402579,48%,,475810,1.454830365,45%,,824950,1.29100111,29.10%
10-Jun-25,33.99%,48%,48%,28.18%,33.99%,55.59%,5129712744,,55.59%,55.59%,,5129712744,5129712744,,,1.182949947,1.477402579,48%,,482472,1.475199966,48%,,819100,1.281846194,28.18%
11-Jun-25,34.17%,47%,44%,29.48%,34.17%,55.54%,5136723155,,55.54%,55.54%,,5136723155,5136723155,,,1.173654205,1.471111298,47%,,472415,1.44444988,44%,,827400,1.294835219,29.48%
12-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
13-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
14-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
15-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
16-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
17-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
18-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
19-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
20-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
21-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
22-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
23-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
24-Jun-25,34.32%,47%,46%,30.73%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,835350,1.307276514,30.73%
25-Jun-25,34.32%,47%,46%,29.69%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,828700,1.296869645,29.69%
26-Jun-25,34.32%,47%,46%,30.95%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,836800,1.309545681,30.95%
27-Jun-25,34.32%,47%,46%,30.95%,34.32%,55.43%,5142277150,,55.43%,55.43%,,5142277150,5142277150,,,1.173654205,1.471111298,47%,,477466,1.459893719,46%,,836800,1.309545681,30.95%
28-Jun-25,25.78%,43%,46%,32.35%,25.78%,40.63%,4815324194,,40.63%,40.63%,,4815324194,4815324194,,,1.108584015,1.427072328,43%,,477466,1.459893719,46%,,845700,1.323473672,32.35%
29-Jun-25,29.27%,39%,49%,37.90%,29.27%,46.18%,4948987725,,46.18%,46.18%,,4948987725,4948987725,,,1.046612406,1.385130452,39%,,486686,1.488084609,49%,,881200,1.379029141,37.90%
30-Jun-25,32.55%,34%,56%,41.93%,32.55%,51.38%,5074682277,,51.38%,51.38%,,5074682277,5074682277,,,0.986190086,1.344237123,34%,,510032,1.55946688,56%,,906950,1.419326417,41.93%
1-Jul-25,27.78%,30%,67%,43.54%,27.78%,43.16%,4892106004,,43.16%,43.16%,,4892106004,4892106004,,,0.927317057,1.304392341,30%,,545421,1.667671591,67%,,917200,1.435367081,43.54%
2-Jul-25,28.17%,27%,69%,43.02%,28.17%,43.53%,4906876324,,43.53%,43.53%,,4906876324,4906876324,,,0.869993319,1.265596106,27%,,551903,1.687490827,69%,,913900,1.43020277,43.02%
3-Jul-25,28.17%,24%,63%,43.35%,28.17%,43.53%,4906876324,,43.53%,43.53%,,4906876324,4906876324,,,0.826613192,1.236236793,24%,,533991,1.632723448,63%,,916000,1.433489149,43.35%
4-Jul-25,28.17%,20%,63%,43.35%,28.17%,43.53%,4906876324,,43.53%,43.53%,,4906876324,4906876324,,,0.775486614,1.201634745,20%,,533991,1.632723448,63%,,916000,1.433489149,43.35%
5-Jul-25,28.17%,20%,63%,43.35%,28.17%,43.53%,4906876324,,43.53%,43.53%,,4906876324,4906876324,,,0.775486614,1.201634745,20%,,533991,1.632723448,63%,,916000,1.433489149,43.35%
6-Jul-25,28.17%,20%,63%,43.35%,28.17%,43.53%,4906876324,,43.53%,43.53%,,4906876324,4906876324,,,0.775486614,1.201634745,20%,,533991,1.632723448,63%,,916000,1.433489149,43.35%
7-Jul-25,29.99%,20%,63%,38.29%,29.99%,46.21%,4976455489,,46.21%,46.21%,,4976455489,4976455489,,,0.775486614,1.201634745,20%,,533991,1.632723448,63%,,883700,1.382941498,38.29%
8-Jul-25,30.09%,20%,59%,36.21%,30.09%,46.10%,4980520551,,46.10%,46.10%,,4980520551,4980520551,,,0.775486614,1.201634745,20%,,519921,1.589703292,59%,,870400,1.362127759,36.21%
9-Jul-25,30.09%,17%,57%,37.45%,30.09%,46.10%,4980520551,,46.10%,46.10%,,4980520551,4980520551,,,0.724360036,1.167032697,17%,,512035,1.565591214,57%,,878300,1.374490807,37.45%
10-Jul-25,30.09%,17%,58%,38.16%,30.09%,46.10%,4980520551,,46.10%,46.10%,,4980520551,4980520551,,,0.724360036,1.167032697,17%,,516185,1.578280172,58%,,882850,1.381611296,38.16%
11-Jul-25,31.07%,17%,58%,38.16%,31.07%,47.39%,5018000274,,47.39%,47.39%,,5018000274,5018000274,,,0.724360036,1.167032697,17%,,516185,1.578280172,58%,,882850,1.381611296,38.16%
12-Jul-25,33.00%,20%,58%,36.29%,33.00%,50.20%,5091823216,,50.20%,50.20%,,5091823216,5091823216,,,0.767740163,1.19639201,20%,,516185,1.578280172,58%,,870900,1.36291023,36.29%
13-Jul-25,31.19%,21%,57%,39.12%,31.19%,47.01%,5022575743,,47.01%,47.01%,,5022575743,5022575743,,,0.781683775,1.205828933,21%,,513111,1.56888117,57%,,889000,1.391235694,39.12%
14-Jul-25,34.43%,23%,59%,38.48%,34.43%,51.85%,5146375580,,51.85%,51.85%,,5146375580,5146375580,,,0.81266958,1.22679987,23%,,521031,1.593097207,59%,,884900,1.384819429,38.48%
15-Jul-25,39.57%,25%,64%,38.48%,39.57%,59.76%,5343502734,,59.76%,59.76%,,5343502734,5343502734,,,0.845204675,1.248819355,25%,,535199,1.636417005,64%,,884900,1.384819429,38.48%
16-Jul-25,40.52%,28%,62%,38.48%,40.52%,60.90%,5379748892,,60.90%,60.90%,,5379748892,5379748892,,,0.896331253,1.283421403,28%,,528365,1.615521501,62%,,884900,1.384819429,38.48%
17-Jul-25,40.52%,28%,61%,38.48%,40.52%,60.90%,5379748892,,60.90%,60.90%,,5379748892,5379748892,,,0.896331253,1.283421403,28%,,527220,1.612020571,61%,,884900,1.384819429,38.48%
18-Jul-25,40.52%,28%,61%,38.48%,40.52%,60.90%,5379748892,,60.90%,60.90%,,5379748892,5379748892,,,0.896331253,1.283421403,28%,,527220,1.612020571,61%,,884900,1.384819429,38.48%
19-Jul-25,39.41%,31%,61%,38.48%,39.41%,58.76%,5337267809,,58.76%,58.76%,,5337267809,5337267809,,,0.94126067,1.313829263,31%,,527220,1.612020571,61%,,884900,1.384819429,38.48%
20-Jul-25,38.13%,31%,60%,38.48%,38.13%,56.38%,5288054960,,56.38%,56.38%,,5288054960,5288054960,,,0.936612799,1.310683622,31%,,523434,1.600444572,60%,,884900,1.384819429,38.48%
21-Jul-25,38.97%,34%,58%,38.48%,38.97%,57.36%,5320511699,,57.36%,57.36%,,5320511699,5320511699,,,0.983091506,1.342140029,34%,,517716,1.582961328,58%,,884900,1.384819429,38.48%
22-Jul-25,39.41%,35%,60%,38.48%,39.41%,57.68%,5337180320,,57.68%,57.68%,,5337180320,5337180320,,,0.995485828,1.350528404,35%,,523765,1.601456631,60%,,884900,1.384819429,38.48%
23-Jul-25,39.50%,35%,62%,38.48%,39.50%,57.48%,5340788188,,57.48%,57.48%,,5340788188,5340788188,,,0.989288667,1.346334217,35%,,530311,1.621471552,62%,,884900,1.384819429,38.48%
24-Jul-25,39.50%,35%,62%,38.48%,39.50%,57.48%,5340788188,,57.48%,57.48%,,5340788188,5340788188,,,0.989288667,1.346334217,35%,,530889,1.623238834,62%,,884900,1.384819429,38.48%
25-Jul-25,39.50%,35%,62%,38.48%,39.50%,57.48%,5340788188,,57.48%,57.48%,,5340788188,5340788188,,,0.989288667,1.346334217,35%,,530889,1.623238834,62%,,884900,1.384819429,38.48%
26-Jul-25,38.91%,38%,62%,38.48%,38.91%,56.23%,5318030781,,56.23%,56.23%,,5318030781,5318030781,,,1.040415245,1.380936264,38%,,530889,1.623238834,62%,,884900,1.384819429,38.48%
27-Jul-25,38.22%,37%,60%,38.48%,38.22%,54.84%,5291538743,,54.84%,54.84%,,5291538743,5291538743,,,1.029570213,1.373596436,37%,,522473,1.597506237,60%,,884900,1.384819429,38.48%
28-Jul-25,38.61%,35%,59%,38.48%,38.61%,55.11%,5306427888,,55.11%,55.11%,,5306427888,5306427888,,,0.993936538,1.349479858,35%,,519907,1.589660486,59%,,884900,1.384819429,38.48%
29-Jul-25,38.64%,32%,62%,38.48%,38.64%,54.83%,5307603623,,54.83%,54.83%,,5307603623,5307603623,,,0.94590854,1.316974904,32%,,528987,1.617423316,62%,,884900,1.384819429,38.48%
30-Jul-25,38.89%,28%,62%,40.85%,38.89%,54.88%,5317189866,,54.88%,54.88%,,5317189866,5317189866,,,0.897880543,1.28446995,28%,,530666,1.622556993,62%,,900000,1.408450065,40.85%
31-Jul-25,38.89%,28%,62%,40.85%,38.89%,54.88%,5317189866,,54.88%,54.88%,,5317189866,5317189866,,,0.897880543,1.28446995,28%,,531422,1.624868524,62%,,900000,1.408450065,40.85%
1-Aug-25,38.89%,28%,62%,44.44%,38.89%,54.88%,5317189866,,54.88%,54.88%,,5317189866,5317189866,,,0.897880543,1.28446995,28%,,531422,1.624868524,62%,,923000,1.444443749,44.44%
2-Aug-25,39.56%,27%,62%,46.32%,39.56%,55.55%,5342949661,,55.55%,55.55%,,5342949661,5342949661,,,0.873091899,1.267693199,27%,,531422,1.624868524,62%,,935000,1.463223062,46.32%
3-Aug-25,42.22%,25%,68%,46.32%,42.22%,59.14%,5444682598,,59.14%,59.14%,,5444682598,5444682598,,,0.846753965,1.249867902,25%,,548347,1.676618072,68%,,935000,1.463223062,46.32%
4-Aug-25,43.10%,26%,71%,46.32%,43.10%,60.09%,5478382951,,60.09%,60.09%,,5478382951,5478382951,,,0.854500416,1.255110637,26%,,559863,1.711829167,71%,,935000,1.463223062,46.32%
5-Aug-25,45.60%,29%,72%,46.32%,45.60%,63.39%,5574056444,,63.39%,63.39%,,5574056444,5574056444,,,0.904077704,1.288664137,29%,,562224,1.719048114,72%,,935000,1.463223062,46.32%
6-Aug-25,45.73%,25%,72%,46.32%,45.73%,63.22%,5579233600,,63.22%,63.22%,,5579233600,5579233600,,,0.849852545,1.251964996,25%,,562319,1.719338584,72%,,935000,1.463223062,46.32%
7-Aug-25,45.73%,25%,70%,46.32%,45.73%,63.22%,5579233600,,63.22%,63.22%,,5579233600,5579233600,,,0.849852545,1.251964996,25%,,557410,1.704328922,70%,,935000,1.463223062,46.32%
8-Aug-25,45.73%,25%,70%,46.32%,45.73%,63.22%,5579233600,,63.22%,63.22%,,5579233600,5579233600,,,0.849852545,1.251964996,25%,,557410,1.704328922,70%,,935000,1.463223062,46.32%
9-Aug-25,44.90%,25%,70%,46.32%,44.90%,61.30%,5547553591,,61.30%,61.30%,,5547553591,5547553591,,,0.849852545,1.251964996,25%,,557410,1.704328922,70%,,935000,1.463223062,46.32%
10-Aug-25,44.08%,25%,70%,46.32%,44.08%,59.77%,5515802002,,59.77%,59.77%,,5515802002,5515802002,,,0.849852545,1.251964996,25%,,557410,1.704328922,70%,,935000,1.463223062,46.32%
11-Aug-25,45.90%,25%,70%,46.32%,45.90%,62.00%,5585482729,,62.00%,62.00%,,5585482729,5585482729,,,0.849852545,1.251964996,25%,,557410,1.704328922,70%,,935000,1.463223062,46.32%
12-Aug-25,46.11%,25%,70%,46.32%,46.11%,61.95%,5593715570,,61.95%,61.95%,,5593715570,5593715570,,,0.849852545,1.251964996,25%,,557410,1.704328922,70%,,935000,1.463223062,46.32%
13-Aug-25,46.33%,,,,,,,46.33%,61.90%,,61.90%,5601948411,,5601948411,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
14-Aug-25,46.33%,,,,,,,46.33%,61.90%,,61.90%,5601948411,,5601948411,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
15-Aug-25,46.33%,,,,,,,46.33%,61.90%,,61.90%,5601948411,,5601948411,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
16-Aug-25,46.54%,,,,,,,46.54%,61.85%,,61.85%,5610181252,,5610181252,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
17-Aug-25,46.76%,,,,,,,46.76%,61.80%,,61.80%,5618414093,,5618414093,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
18-Aug-25,46.97%,,,,,,,46.97%,61.75%,,61.75%,5626646934,,5626646934,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
19-Aug-25,47.19%,,,,,,,47.19%,61.70%,,61.70%,5634879775,,5634879775,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
20-Aug-25,47.40%,,,,,,,47.40%,61.65%,,61.65%,5643112616,,5643112616,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
21-Aug-25,47.62%,,,,,,,47.62%,61.60%,,61.60%,5651345457,,5651345457,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
22-Aug-25,47.62%,,,,,,,47.62%,61.60%,,61.60%,5651345457,,5651345457,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
23-Aug-25,47.83%,,,,,,,47.83%,61.55%,,61.55%,5659578298,,5659578298,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
24-Aug-25,47.83%,,,,,,,47.83%,61.55%,,61.55%,5659578298,,5659578298,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
25-Aug-25,48.05%,,,,,,,48.05%,61.50%,,61.50%,5667811139,,5667811139,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
26-Aug-25,48.26%,,,,,,,48.26%,61.45%,,61.45%,5676043980,,5676043980,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
27-Aug-25,48.48%,,,,,,,48.48%,61.40%,,61.40%,5684276821,,5684276821,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
28-Aug-25,48.69%,,,,,,,48.69%,61.35%,,61.35%,5692509661,,5692509661,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
29-Aug-25,48.69%,,,,,,,48.69%,61.35%,,61.35%,5692509661,,5692509661,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
30-Aug-25,48.91%,,,,,,,48.91%,61.30%,,61.30%,5700742502,,5700742502,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
31-Aug-25,49.12%,,,,,,,49.12%,61.25%,,61.25%,5708975343,,5708975343,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
1-Sep-25,49.12%,,,,,,,49.12%,61.25%,,61.25%,5708975343,,5708975343,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
2-Sep-25,49.34%,,,,,,,49.34%,61.20%,,61.20%,5717208184,,5717208184,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
3-Sep-25,49.55%,,,,,,,49.55%,61.15%,,61.15%,5725441025,,5725441025,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
4-Sep-25,49.77%,,,,,,,49.77%,61.10%,,61.10%,5733673866,,5733673866,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
5-Sep-25,49.77%,,,,,,,49.77%,61.10%,,61.10%,5733673866,,5733673866,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
6-Sep-25,49.98%,,,,,,,49.98%,61.05%,,61.05%,5741906707,,5741906707,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
7-Sep-25,50.20%,,,,,,,50.20%,61.00%,,61.00%,5750139548,,5750139548,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
8-Sep-25,50.41%,,,,,,,50.41%,60.96%,,60.96%,5758372389,,5758372389,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
9-Sep-25,50.63%,,,,,,,50.63%,60.91%,,60.91%,5766605230,,5766605230,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
10-Sep-25,50.63%,,,,,,,50.63%,60.91%,,60.91%,5766605230,,5766605230,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
11-Sep-25,50.84%,,,,,,,50.84%,60.86%,,60.86%,5774838071,,5774838071,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
12-Sep-25,50.84%,,,,,,,50.84%,60.86%,,60.86%,5774838071,,5774838071,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
13-Sep-25,51.06%,,,,,,,51.06%,60.81%,,60.81%,5783070912,,5783070912,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
14-Sep-25,51.27%,,,,,,,51.27%,60.76%,,60.76%,5791303753,,5791303753,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
15-Sep-25,51.49%,,,,,,,51.49%,60.71%,,60.71%,5799536594,,5799536594,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
16-Sep-25,51.70%,,,,,,,51.70%,60.66%,,60.66%,5807769435,,5807769435,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
17-Sep-25,51.92%,,,,,,,51.92%,60.61%,,60.61%,5816002276,,5816002276,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
18-Sep-25,52.13%,,,,,,,52.13%,60.56%,,60.56%,5824235117,,5824235117,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
19-Sep-25,52.13%,,,,,,,52.13%,60.56%,,60.56%,5824235117,,5824235117,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
20-Sep-25,52.35%,,,,,,,52.35%,60.51%,,60.51%,5832467958,,5832467958,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
21-Sep-25,52.56%,,,,,,,52.56%,60.46%,,60.46%,5840700799,,5840700799,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
22-Sep-25,52.78%,,,,,,,52.78%,60.41%,,60.41%,5848933640,,5848933640,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
23-Sep-25,52.99%,,,,,,,52.99%,60.36%,,60.36%,5857166481,,5857166481,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
24-Sep-25,53.21%,,,,,,,53.21%,60.31%,,60.31%,5865399322,,5865399322,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
25-Sep-25,53.42%,,,,,,,53.42%,60.27%,,60.27%,5873632163,,5873632163,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
26-Sep-25,53.42%,,,,,,,53.42%,60.27%,,60.27%,5873632163,,5873632163,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
27-Sep-25,53.64%,,,,,,,53.64%,60.22%,,60.22%,5881865004,,5881865004,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
28-Sep-25,53.85%,,,,,,,53.85%,60.17%,,60.17%,5890097845,,5890097845,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
29-Sep-25,54.07%,,,,,,,54.07%,60.12%,,60.12%,5898330686,,5898330686,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
30-Sep-25,54.28%,,,,,,,54.28%,60.07%,,60.07%,5906563527,,5906563527,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
1-Oct-25,54.50%,,,,,,,54.50%,60.02%,,60.02%,5914796368,,5914796368,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
2-Oct-25,54.71%,,,,,,,54.71%,59.97%,,59.97%,5923029209,,5923029209,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
3-Oct-25,54.71%,,,,,,,54.71%,59.97%,,59.97%,5923029209,,5923029209,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
4-Oct-25,54.93%,,,,,,,54.93%,59.93%,,59.93%,5931262050,,5931262050,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
5-Oct-25,55.14%,,,,,,,55.14%,59.88%,,59.88%,5939494891,,5939494891,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
6-Oct-25,55.36%,,,,,,,55.36%,59.83%,,59.83%,5947727732,,5947727732,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
7-Oct-25,55.57%,,,,,,,55.57%,59.78%,,59.78%,5955960573,,5955960573,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
8-Oct-25,55.79%,,,,,,,55.79%,59.73%,,59.73%,5964193414,,5964193414,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
9-Oct-25,56.00%,,,,,,,56.00%,59.68%,,59.68%,5972426255,,5972426255,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
10-Oct-25,56.00%,,,,,,,56.00%,59.68%,,59.68%,5972426255,,5972426255,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
11-Oct-25,56.22%,,,,,,,56.22%,59.63%,,59.63%,5980659096,,5980659096,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
12-Oct-25,56.43%,,,,,,,56.43%,59.59%,,59.59%,5988891937,,5988891937,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
13-Oct-25,56.65%,,,,,,,56.65%,59.54%,,59.54%,5997124778,,5997124778,,0.849852545,1.251964996,,,557410,1.704328922,,,935000,1.463223062,
14-Oct-25,56.65%,,,,,,,56.65%,59.54%,,59.54%,5997124778,,5997124778,,0.849852545,1.251964996,,,557410,1.704328922,,,0,1.56E-06,
